name,price,mileage,engine_cc,kilometer_run,types,age
Single Hand Used Vespa,148000,35.0,125.0,30000.0,0.0,4.0
Honda hornet 160r,159999,45.0,160.0,34000.0,1.0,7.0
Fz v3 bs6 ,235000,48.0,150.0,24000.0,1.0,4.0
BMW GS 310 on urgent sale,730000,30.0,310.0,31500.0,1.0,6.0
tvs jupiter for sale,65000,45.0,125.0,33516.0,0.0,8.0
yamaha fz 25 for sale,157000,30.0,250.0,40000.0,1.0,6.0
motor bike,30000,45.0,125.0,61000.0,1.0,17.0
Suzuki Gixer for sale,115000,55.0,153.0,35000.0,1.0,9.0
showroom condition bullet 2021 on sale,530000,33.5,350.0,21000.0,1.0,4.0
Crossfire Hj 250 2020 Last Model,420000,25.0,250.0,7100.0,1.0,5.0
Royal Classic 350  sale or exchange  Shwroom condi,550000,33.5,350.0,26.0,1.0,4.0
Pulsar 220f super fresh condition,140000,35.0,220.0,36000.0,1.0,8.0
Fzs v2,180000,45.0,150.0,28728.0,1.0,7.0
Benelli 250i,210000,40.0,250.0,28728.0,1.0,7.0
tvs,199000,55.0,125.0,5300.0,1.0,1.0
Aprilia sr150 (036)lot,205000,35.0,150.0,15000.0,0.0,3.0
Dio 125 Sell,245000,50.0,125.0,8000.0,0.0,1.0
Honda,55000,40.0,125.0,61000.0,1.0,15.0
Ns 200 ( 2018 Model ),150000,35.0,200.0,49000.0,1.0,7.0
Yamaha Ray Z R street rally,180000,45.0,125.0,29000.0,0.0,5.0
Fz 250 Fi Abs,214000,40.0,250.0,24000.0,1.0,6.0
Honda Shine,120000,45.0,125.0,31000.0,1.0,8.0
vespa vxl,130000,45.0,125.0,11025.0,0.0,7.0
Bajaj pulsar 150 (2021),150000,40.0,150.0,50286.0,1.0,4.0
XR 190 on sale...,599999,38.0,190.0,15000.0,1.0,3.0
Bike for sale!!!! Pulsar 150 single disc hurry !!,100000,40.0,150.0,50000.0,1.0,12.0
Duke 390,650000,25.0,390.0,18000.0,1.0,4.0
Honda nx 200 153 lot sale,398000,45.0,200.0,5000.0,1.0,1.0
2019 year model ..Dominar400 For Sell,400000,28.0,400.0,32000.0,1.0,6.0
Crossfire tracker 250 (032)lot super fresh bike,160000,32.0,250.0,23000.0,1.0,4.0
Xr190 sasto price ma single use,450000,45.0,190.0,28000.0,1.0,7.0
Ktm Duke 200 154 Lot Sale Or Exchange,498000,40.0,200.0,11000.0,1.0,1.0
Bajaj Ns 125 141 Lot Sale Or Ex,169000,45.0,125.0,23000.0,1.0,4.0
Yahama R15 79 Lot Sale Or Exchange,129000,45.0,150.0,22000.0,1.0,9.0
Bajaj Pulsar 150cc 91 Lot Sale Or Ex,129000,45.0,150.0,33000.0,1.0,7.0
Honda Avator 87 Lot Sale Or Exchange,135000,45.0,110.0,33000.0,0.0,8.0
Hero Xpulse 200 2V,215000,37.0,199.0,39000.0,1.0,4.0
Yahama Rayz Disk Break Fi 133 Lot Sale Or Ex,189000,50.0,125.0,16000.0,0.0,4.0
Yahama Fzs 120 Abs V3 120 Lot Sale Or Exchange,229000,50.0,150.0,23000.0,1.0,5.0
Tvs Styker 125cc 145 Lot Sale Or Ex,139000,50.0,125.0,13000.0,1.0,2.0
unicorn,90000,35.0,149.0,50000.0,1.0,15.0
Nk 250 Cc Fi Abs 2018 Model 9823657076,173000,30.0,250.0,28728.0,0.0,7.0
Pulsar 220  Blue Color  95 Lot,160000,35.0,220.0,29000.0,1.0,8.0
Honda UNicorn 160 bs4 for sale 41k KM run. ,140000,40.0,160.0,41000.0,1.0,8.0
Honda dio on sell 2022 model 037 lot ,170000,45.0,109.0,24000.0,0.0,3.0
Honda aviator 93 lot sale,112000,35.0,110.0,29000.0,0.0,8.0
Honda aviator 69 lot sale,85000,35.0,110.0,35000.0,0.0,10.0
avaitor 62 lot sale,75000,35.0,110.0,49000.0,0.0,14.0
Honda aviator 63 lot sale,77000,35.0,110.0,48000.0,0.0,15.0
Honda aviator 49 lot sale,65000,35.0,110.0,59000.0,0.0,16.0
Honda aviator 110 lot on sale,132000,35.0,110.0,27000.0,0.0,6.0
Honda aviator 75 lot on sale,90000,35.0,110.0,38000.0,0.0,9.0
Honda sp shine 79 lot sale,105000,40.0,125.0,39000.0,1.0,9.0
Honda shine 162 lot (2018) on sale,128000,40.0,125.0,30000.0,1.0,7.0
Honda shine 137 lot sale,188000,40.0,125.0,18000.0,1.0,3.0
ZR lot 042,140000,35.0,113.0,19152.0,1.0,5.0
fi Abs Ns200,215000,35.0,200.0,14364.0,1.0,4.0
Pulsar 220 Abs  lot 025,235000,35.0,220.0,14364.0,1.0,4.0
Grazia 125 lot 013,160000,45.0,125.0,23940.0,0.0,6.0
Bajaj Pulsar 150cc TD 101 Lot Sal Or Ex,135000,40.0,150.0,29000.0,1.0,6.0
Pulsar 125 lot 016,140000,45.0,125.0,19152.0,1.0,5.0
Honda Grazaia 125cc Disk Break 115 Lot Sale Or Exc,169000,45.0,125.0,23000.0,0.0,5.0
Tvs Nrorque Drum 147 Lot Sale Or Exchange,179000,45.0,125.0,21000.0,0.0,2.0
classic hartford on sale!!!🔥🔥,150000,45.0,150.0,61000.0,1.0,22.0
88 lot vespa on urgent sale!!,130000,45.0,125.0,33516.0,0.0,8.0
rayzr fi 125cc on sell,169000,50.0,125.0,14364.0,0.0,4.0
dio 130 lot urgent sell,175000,40.0,110.0,17000.0,0.0,4.0
tvs ntorq on sell,165000,35.0,125.0,9576.0,0.0,3.0
honda xr190L 039lot urgent on sell,610000,35.0,190.0,9576.0,1.0,3.0
136 lot pulsar 150 urgent sell,189999,45.0,150.0,9576.0,1.0,3.0
141 lot fzs v2 dual disk on sel,260000,40.0,150.0,20000.0,1.0,3.0
Dominar 250 red colour on urgent sell. Good condit,320000,30.0,250.0,9576.0,1.0,3.0
Ntorq 125cc Fi 133 Lot Super Fresh Condition Onsel,198000,45.0,125.0,22000.0,0.0,4.0
Royal Enfiled Hunter 145 Lots Sale/Xchange,399900,35.0,350.0,15000.0,1.0,2.0
105 lot Honda shine urgent sell,147000,55.0,125.0,29000.0,1.0,6.0
131 lot fzs v3 urgent sell,239999,45.0,150.0,14364.0,1.0,4.0
Italica Formula 150 2022 last model,170000,45.0,150.0,9500.0,1.0,3.0
pulsar 220  2021 model ko 137 lot ko fresh bike ..,270,40.0,220.0,18000.0,1.0,4.0
Mt15 Like New 143 Lot,395000,55.0,155.0,4788.0,1.0,2.0
hero glamour 2021model,129000,55.0,125.0,38000.0,1.0,4.0
yamaha fz v2 bs6,235000,50.0,150.0,25000.0,1.0,3.0
Vespa 150Cc SXL 79 Lots Sale/Xchange,105900,30.0,150.0,29000.0,0.0,9.0
Aprilia SR 125 (120 lot),134000,45.0,125.0,13000.0,0.0,5.0
Bajaj Discover 125Cc 54 Lots Sale/Xchange,50900,45.0,125.0,45000.0,1.0,13.0
Apache RTR 180CC at unbeatable price is on sale ,130000,40.0,180.0,23500.0,1.0,8.0
Xpulse super fresh  2020 model,205000,35.0,200.0,30.0,1.0,6.0
Pulsar 150 single hand ,195000,50.0,150.0,18.0,1.0,2.0
Tvs Raider 125 On Sale URGENT,179999,65.0,125.0,19000.0,1.0,3.0
