name,price,mileage,engine_cc,fuel,kilometer_run,types,is_automatic,is_4WD,age
Kia picanto 2010 sell and exchange,900000.0,14.0,1100.0,1,62000.0,2.0,0,0,15.0
hyundai santro 2007 full option sell & exchange,950000.0,14.0,1100.0,1,79000.0,2.0,0,0,18.0
Kia soul ev sunroof 2018 single hand sell nd excha,1850000.0,18.0,81.0,3,60000.0,1.0,0,0,7.0
tata nano 2012 sell and exchange,350000.0,16.0,600.0,1,79000.0,2.0,0,0,13.0
Deepal E07 ev 2025 low run 7000 km sell & exchange,8500000.0,18.0,190.0,3,7000.0,1.0,1,0,0.0
Hyundai i20 activeS 2016 sell and exchange,2550000.0,14.0,1200.0,1,66000.0,1.0,0,0,9.0
Maruti Suzuki Swift Dzire zxi fully loaded car,1675000.0,14.0,1300.0,1,70000.0,3.0,0,0,12.0
Brand New Conditioned Brezza Top Variant for Sale,4800000.0,18.0,1462.0,1,23000.0,1.0,0,0,2.0
Nissan Sunny Super Saloon 2004 Auto Gear,825000.0,12.0,1600.0,1,94000.0,3.0,1,0,22.0
⭐ Brezza Petrol – Like New | Well Maintained |,3600000.0,18.0,1500.0,1,70000.0,1.0,0,0,4.0
HYUNDAI EON ERA PLUS CAR ON SALE,1238000.0,15.0,814.0,1,52000.0,2.0,0,0,10.0
Only 37k km चलेको  Full option Single hand CretaSX,3600000.0,14.0,1591.0,1,37857.0,1.0,0,0,9.0
Hyundai Creta Sx Plus 2016 Model Red Colour,3200000.0,14.0,1600.0,1,58075.0,1.0,0,0,9.0
Hyundai I10 Magna 1.2 blue  2008,1100000.0,15.0,1200.0,1,92700.0,1.0,1,0,17.0
Volkswagen Passat Automatic 2013 Petrol On Sale ,3600000.0,10.0,1800.0,1,65000.0,3.0,1,0,12.0
Fresh Santro   2013 model on sale ,1515000.0,15.0,1100.0,1,77000.0,2.0,0,0,12.0
Hyundai Grand i10 Magna 2018 Full Option,2230000.0,18.0,1197.0,1,40000.0,2.0,0,0,7.0
NEXON PETROL- SALE / EXCHANGE ,2500000.0,15.0,1200.0,1,28728.0,1.0,1,0,7.0
Ford Ecosport Trend 2018 “Single Hand”,2350000.0,14.0,1497.0,1,42356.0,1.0,0,0,7.0
Like New Polo 1.0 Trendline on Sale,2000000.0,15.0,999.0,1,52000.0,2.0,1,0,7.0
Ford fiesta on sale...,1200000.0,16.0,1499.0,1,76142.0,3.0,0,0,14.0
Maruti Suzuki Esteem VXI  🔥 The King Is Back,509000.0,16.0,1300.0,1,41000.0,3.0,0,1,20.0
Hyundai i10 for sale 9816257083 ,2650000.0,15.0,1197.0,1,4000.0,1.0,1,0,4.0
2020 Peugeot 3008/suv/automatic/petrol/finance/car,5900000.0,14.0,1500.0,1,32000.0,1.0,1,1,5.0
Kia picanto 2008,750000.0,18.0,1000.0,1,180000.0,2.0,0,0,17.0
