Name,Price,Used For,Warranty,Transmission,Colour,Make Year,Features,Mileage,Engine (CC),Fuel,Kilometer Run,Types
Ns 200 Fully fresh 73 lot 9803656430,120000,,,Automatic,,2016,,35+,,Petrol,,Sport
Honda Grazia Fully fresh 119 lot 9803656430,160000,,,Automatic,,2020 last,,45,,Petrol,,Scooty
RayZr Fi yamaha 120 lot top model 9803656430,169000,,,Automatic,,2020 last,,50,125,Petrol,,Scooty
Aprilla Race edition 105 lot fully fres 9803656430,130000,,,Automatic,,2019,,35+,,Petrol,,Scooty
CB Shine 68Lot,94000,,,Automatic,,2015,,,125,Petrol,,Standard
electric scooter ,60000,,6 months,Automatic,red ,2025,,40km,,Electric,,Standard
R15 V2,100000,Used,Null,Manual,Black,2011,V12 R15 ,50,150,Petrol,77960,Sport
Bullet 2016 model black color ,375000,,,Manual,Black ,2016,,,350,Petrol,30000,Standard
rtr180 002 lot,120000,,,Manual,,2018,,,,Petrol,,Standard
R15 V3 023 Lot,285000,,,Manual,,2021,,,,Petrol,,Sport
Urgent Sell,640,Personal,,Manual,Blue,2022,,35,350,Petrol,15000,Standard
Ns 200,149999,Personal,,Manual,Black,2017,,30,199,Petrol,50000,Sport
Honda Dio 60 lot,98000,,,Manual,,2014,,,,Petrol,,Scooty
Yahama RayZR Fi 125,180000,,,Automatic,Blue,2021,single hand,50,125,Petrol,33000,Scooty
Yamaha FZs  150 v3 abs  sale or exchange Bike fres,225000,,,Automatic,Blue,2020,,,150,Petrol,19k,Standard
DOMINAR400CC - 023 lot fi abs,300000,,,Manual,,2021,,,400,Petrol,,Others
Honda Shine Fully Fresh Lot-57 Super Fresh,88000,,,Manual,,2014,,,,Petrol,27000,Sport
Apache 160 4v Fully Brand New Lot-032,188000,,,Manual,,2021,,,160,Petrol,18000,Sport
Glamour Fi System Fully Fresh Lot-036 Single Hand,157000,,,Manual,,2022,,,,Petrol,15000,Sport
Plusar 150 Fully Fresh Condition Lot-40,80000,,,Manual,,2014,,,150,Petrol,35000,Sport
Plusar 150 Fully Fresh Lot-010 Super Fresh,100000,,,Manual,,2017,,,150,Petrol,27000,Sport
Honda Dio And System Fully Brand New Lot-046,250000,,,Manual,,2024,,,,Petrol,13000,Scooty
April Sr 125 Cc Fully Fresh Lot-019 Super Fresh,137000,,,Manual,,2020,,,125,Petrol,25000,Scooty
Plusar 220 F Abs Fully Brand New Lot-055 Single Ha,370000,,,Manual,,2025,,,220,Petrol,90000,Sport
Ns200 Fi And Abs Bs6 Brand New Model-2025,400000,,,Manual,,2025,,,200,Petrol,6000,Sport
Hero Xr190 Fi System Lot-039 Single Hand,610000,,,Manual,,2022,,,190,Petrol,15000,Sport
Honda XR 190L,620000,,Expired,Manual,Red/White,2019,LED Headlight  Digital Meter  PGM-FI Engine  Rear Carrier Rack  Long-Travel Suspension  High Ground Clearance  Spoke Wheels,45 km/l,190,Petrol,25000,Dirt
Honda Hornet Fully Fresh Lot-001 Super Fresh,148000,,,Manual,,2018,,,,Petrol,27000,Sport
Ns125 Cc Abs Fi System Fully Brand New Lot-045,170000,,,Manual,,2022,,,125,Petrol,27000,Sport
Yamaha rayzr 76 lot on sale,76000,,,Automatic,Green,2016,,35,113,Petrol,35000,Scooty
Bike scooter rakhera loan Chaya ma samparka garnu,123456,,,Manual,,2024,,,200,Petrol,,Sport
Dio 9823696114,120000,5,No,Automatic,Red,2018,,30,109,Petrol,45,Scooty
Yamaha Ray ZR 125 Fi,210000,,,Automatic,Yellow,2021,,50+,125,Petrol,12000,Scooty
Honda Unicon 160cc 82 lot 9803656430,105000,,,Automatic,,2017,,,,Petrol,,Standard
Like new condition 220 Pulsar abs 131 lot ,238000,,,Automatic,,2021 last,,40+,220,Petrol,25k,Standard
Urgent sale 🔥,168000,2 hand,,Manual,Black ,2021,,50 55,125,Petrol,26k,Sport
Royal Enfield Hunter 350 Cc,445000,1.5yrs,No,Manual,Dapper black,2024,,30,350,Petrol,6000,Standard
Ns 200cc Black 152 lot fully fresh 9803656430 ,140000,,,Automatic,Black,2018 last,,,200,Petrol,,Sport
Suzuki Sling Shot Tax all cler 57 lot 9803656430,40000,,,Automatic,,2015,,50+,,Petrol,,Standard
Ktm duke 250 bs4 single hand bike,305000,,,Manual,Orange and white,2017,Single hand bike  like showroom looks and condition  only 22k running  smooth sound engine and up to 83 tax clear,40,250,Petrol,22000,Sport
DIO LED DLX A3 Color ( GY155(Green Metallic),180000,Since 2021,,Manual,Green metallic,2021,,,123,Petrol,24992,Scooty
Honda CB shine (023)lot,180000,,,Manual,Black and Red,2021,Fresh like new condition and looks bike Has great smooth seal packed engine Has both like new tyre Tax clear Free helmet,50,125,Petrol,,Standard
UM DSR 250cc motorcycle ,120000,,,Manual,red ,2016,added spot lights and phone holder ,,250,Petrol,???,Dirt
Honda Dio,145000,,,Automatic,,2018,,,110,Petrol,,Scooty
Pulsar 150 (004)lot,145000,,,Manual,Black and Red,2018,Like showroom looks and condition Has like showroom engine Great pick up and mileage Single disk bike,40,150,Petrol,,Sport
honda Dio,135000,,,Manual,,2017,,,,Petrol,,Scooty
Meteor 350 ONE PIECE FOR SALE,399999,3 years ,N/A,Manual,Fireball Red,2022,Dual Channel Abs  Assembled in India  Trip meter display ,30,350,Petrol,28000,Cruiser
131 lot honda shine urgent sell,177000,,,Manual,,2021,,55,125,Petrol,15000,Standard
apache 160 4v urgent sell  123 lot abs,165000,,,Manual,,2021,,40,160,Petrol,25000,Standard
Aprilia Sr 150 Race Edition,169000,,Yes,Automatic,White black,2021,Digital meter,30,150,Petrol,24000,Scooty
Fascino for sale urgent,80000,,,Automatic,Maroon,2016,,35,,Petrol,39000,Scooty
Yamaha saluto (102 lot),94000,,,Manual,,2018,,,,Diesel,,Standard
HONDA CB350RS,650000,,,Manual,Red and Black,2021,,28-30,350,Petrol,21165,Cruiser
Fz v3 fi,210000,office ,6 Mon warranty engine,Automatic,Blue,2020,,45,155,Petrol,22000,Standard
bike on sale fresh bike  discover 125 cc,55000,,,Manual,blue,2013,,50,125,Petrol,,Standard
9849756337,510,city,,Automatic,gun metal,2021,,32,350,Petrol,18600,Standard
Crossfire GR7 300cc • Fully Loaded • Only 8 000 KM,290000,Personal ,,Manual,Blue,2019,• Original Renthal handlebar • Nibbi quick throttle system • Nibbi racing carburetor • High-quality Mortrad rims • Brand new Ceat Sportrad tires • 110 lot – clean & clear papers .  Projector car headlight installed .  WB front adjustable suspension  .  Folding side mirror .  Acerbis hand guards ,28,300,Petrol,8000,Dirt
Ns 200 73 lot,128000,,,Manual,,2016,,,200,Petrol,,Sport
2021 Model Java like new condition,333000,,,Manual,,2021,,,,Petrol,,Cruiser
dio fi 046lot,250000,,,Automatic,,2024,,,,Petrol,,Standard
pleasure scooter,62000,personal,No,Automatic,Red& back,2013,Good,35,110,Petrol,4020,Scooty
pulsar 220 055lot,375000,,,Automatic,,2025,,,,Petrol,,Standard
xpulse 026lot,230000,,,Automatic,,2021,,,,Petrol,,Standard
ns 200,400000,,,Automatic,,2025,,,,Petrol,,Standard
rtr 160 002lot,125000,,,Automatic,,2018,,,,Petrol,,Standard
ns 125 045lot,170000,,,Automatic,,2024,,,,Petrol,,Standard
NS 200,14000000,6 month,No warenty ,Automatic,Red and black,2016,Disk break ,35,200,Petrol,54000,Sport
hero maestro 98lot,85000,,,Automatic,,2018,,,,Petrol,,Standard
ntorq 041lot,185000,,,Automatic,,2023,,,,Petrol,,Standard
Bajaj Ns 160cc like new 90 lot 9803656430,110000,,,Automatic,,2017,,45+,160,Petrol,,Sport
discovery 68lot,65000,,,Automatic,,2015,,,,Petrol,,Standard
honda unicorn 39lot,55000,,,Automatic,,2010,,,,Petrol,,Standard
pulsar 150 035lot,195000,,,Automatic,,2021,,,,Petrol,,Standard
honda aviator 73lot,99000,,,Automatic,,2016,,,,Petrol,,Standard
pulsar 220 024lot,230000,,,Automatic,,2021,,,,Petrol,,Standard
ntorq 036lot,160000,,,Automatic,,2021,,,,Petrol,,Standard
pulsar 220,220000,,,Manual,black and red,2021,,40,220,Petrol,30000,Standard
Hero Xpulse 200 Pro on Sale,460000,,,Automatic,white,2025,,,200,Petrol,4400,Dirt
Benelli 250,165000,,,Manual,wight,2075,,30,250,Petrol,36300,Sport
Reborn 350,415000,2 year,Company claim available,Manual,Halycon green,2023,,32,350,Petrol,19000,Cruiser
TVS Ntorq 125,150000,,,Manual,mat read,2019,,,125,Petrol,,Scooty
burgmen 007lot,125000,,,Manual,,2019,,,,Petrol,,Scooty
pleasure 007lot,85000,,,Manual,,2019,,,,Petrol,,Scooty
dominar 400cc 025lot,300000,,,Manual,,2021,,,,Petrol,,Standard
honda Dio Fi system 046lot,250000,,,Manual,,2023,,,,Petrol,,Scooty
pulsar 150 010lot 2016 model,100000,,,Manual,,2016,,,,Petrol,,Standard
pulsar 220 055lot,360000,,,Manual,,2025,,,,Petrol,,Standard
I smart 009lot,90000,,,Manual,,2019,,,,Petrol,,Standard
dominar 400cc 023lot,310000,,,Manual,,2021,,,,Petrol,,Standard
bullet 78 lot on sale or exchange,100,,,Manual,silver,2016,,,350,Petrol,40000,Standard
bullet 105 lot on sale or exchange,100,,,Manual,gun grey,2019,,,350,Petrol,720000,Standard
one hand bullet 88 lot sele or exchange,100,,,Manual,silver,2017,,,350,Petrol,38000,Standard
Unicorn 150,50000,Home-office-home,,Manual,Black and red,2008,,40,150,Petrol,,Standard
JAWA CLASSIC,290000,,,Manual,Black,2021,,36,300,Petrol,,Standard
bullet on sale or exchange,100,,,Manual,black,2016,,,350,Petrol,48000,Standard
KTM duke2000 BS4 On Sale,233000,,,Manual,black white,2016,,30,200,Petrol,26000,Others
single hand bullet 2018 on sale or exchange,100,,,Manual,black,2018,,,350,Petrol,53,Standard
fz v2 urgent sell 157 lot,288000,,,Manual,,2025,,50,150,Petrol,5000,Standard
146 lot rayzr urgent sell,229000,,,Automatic,,2023,,55,125,Petrol,15000,Scooty
Honda Dio 67 lot on sale,89000,,,Manual,Red ,2015,,30,110,Petrol,31000,Scooty
Tvs Ntroq 125cc like new 123 lot 9803656430,140000,,,Automatic,,2021 ,,35+,,Petrol,,Scooty
ntorq 041lot,185000,,,Automatic,,2023,,,,Petrol,,Standard
Yamaha MT 15,390000,,,Manual,White,2022,,48+,155,Petrol,23000,Sport
NS 200cc Like new condition 78 lot 9803656430,120000,,,Automatic,,2017,,,,Petrol,,Sport
honda aviator 007lot,140000,,,Automatic,,2019,,,,Petrol,,Standard
Suzuki Burgman 125cc 109 lot fully fres 9803656430,125000,,,Automatic,Black,2019,,35,125,Petrol,,Scooty
ns 125cc 045lot,170000,,,Automatic,,2024,,,,Petrol,,Standard
rtr 160 002lot,125000,,,Automatic,,2018,,,,Petrol,,Standard
ns 200,400000,,,Automatic,,2025,,,,Petrol,,Standard
Tvs 125cc fully fresh condition 68 lot 9803656430,60000,,,Automatic,,2016,,55+,,Petrol,,Standard
Vespa sxl 125cc 026lot,175000,,,Automatic,,2020,,,,Petrol,,Scooty
Pulsar 220f Abs 131 lot like new condtn 9803656430,240000,,,Automatic,Red black,2021 last,,35++,220,Petrol,28000,Standard
Powerful Ns 200cc 78 lot Super fresh 9803656430,120000,,,Automatic,,2016 last,,35+,,Petrol,,Sport
Ns 200 Like new 152 lot super fresh 9803656430,140000,,,Automatic,,2018 last,,35+,200,Petrol,30000,Sport
FZ V3 Urgent Sale,275000,2 years ,,Automatic,Dark Knight,2021,Sensor oriented   FI   BS6 Engine,40+,150,Petrol,19000,Sport
Yamaha MT-15    Fully fresh & well maintained,315000,5 years,,Manual,Black,2019,VVA Engine  Slipper clautch  Abs,45,155,Petrol,18300,Sport
Aviator,115000,,,Manual,Marud Red,2017,Fresh scooter  great pick up and upto 45+milage Both like new tyre less running,40,110,Petrol,,Scooty
Yamaha Saluto 2017model seal engine,105000,,,Manual,Black and Red,2017,Fresh condition milage bike  recently changed tyre  new bratty  tax clear  super fresh engine and has disk break..,45,125,Petrol,,Standard
Ntorq 125 fi (037) lastai sasto price ma,210000,,,Manual,Red and Black race edition,2022,Has fi engine Seal packed engine Super fresh scooty  Brand new tyre and battery  Only 24k km running and has good resell plus no problem in the scooter,40,125,Petrol,24300,Scooty
cx250 lot 121 dirt rim super fresh condition,420000,,,Automatic,,2021,,25,250,Petrol,12000,Dirt
duke 200 on sale in good condition .fully fresh xa,291000,,,Manual,red,2017,,,200,Petrol,,Sport
Discover 64 Lot Super Fresh Condition Onsell,67000,,,Manual,,2014,,,,Petrol,,Sport
Yamaha R15v3 123 Lot Super Fresh Condition Onsell,278000,,,Manual,,2020,,,,Petrol,,Sport
Aprilla Sr 125cc 131 Lot Super Fresh Condition Ons,157000,,,Manual,,2021,,,,Petrol,,Scooty
Jawa 42 300cc 118 Lot Super Fresh Condition Sell,278000,,,Manual,,2020,,,,Petrol,,Standard
Honda Aviator 93 Lot Super Fresh Condition Onsell,119000,,,Manual,,2018,,,,Petrol,,Scooty
Honda Shine 57 Lot Super Fresh Condition Onsell,88000,,,Manual,,2013,,,,Petrol,,Sport
Super Splendour 56 Lot Super Fresh Condition Onsel,67000,,,Manual,,2013,,,,Petrol,,Sport
Tvs Phonex 68 Lot Super Fresh Condition Onsell,67000,,,Manual,,2015,,,,Petrol,,Sport
Suzuki Gixxer 110 lot fresh bike   9813296721,145000,,,Manual,,2019,,,155,Petrol,,Standard
NS 200 Fi ABS,270000,,,Manual,Grey,2019,,,200,Petrol,34000,Sport
Ns 200 On sell!!!,111,personal use,6 months,Manual,Blue & Black,201,,30,200,Petrol,,Sport
fzv2 dubble dis,190000,,,Automatic,nevyblue,2019,,,150,Petrol,37,Standard
Apache RTR 200 4v,190000,,,Manual,White,2020,,,200,Petrol,26000,Others
very fresh bullet  sale or exchange ,100,,,Manual,gun grey,2017,,,350,Petrol,48000,Standard
Hero xtreme 125 on sell new bike,265000,personal,1 year,Manual,blue,2025,,60,125,Petrol,4000,Standard
Discover bike for sale,33000,,,Automatic,,2006,,,125,Petrol,,Standard
Aviator scooter for sale,88000,,,Automatic,red,2016,,,110,Petrol,,Scooty
R15v3 2020 Last Model 9865466320,275000,,,Manual,Blue,2020,,,155,Petrol,190000,Sport
 Fresh Honda Grazia 125cc Scooty on Urgent Sale,125000,,,Automatic,Black,2019,,35,125,Petrol,,Scooty
Nk 250 single hand ,249000,Clz only,No,Manual,Full black ,2019 ,Ekdam fresh 0 kharcha ,30+,250,Petrol,30k,Sport
